CLAVE;F_CORTE;PARTIDO;REGION;FLUIDO;DIRECCION;ASIGNACION_PRESUPUESTO;P3_IP;LAT_OBRA;LON_OBRA;NOMBRE_DE_LA_OBRA;TIPO_DE_OBRA;FINANCIA;EJECUTA;ESTADO;SUBESTADO;FECHA_LLAMADO_LICITACION;A_INFORMAR;CONTRATISTA;INVERSION_PRESUPUESTADA_SIN_IVA;INVERSION_REAL_ACUMULADA_SIN_IVA;PLAZO;AVANCE;FIRMA_CTO;ORDEN_INICIO;FIN_OBRA;GEOREF_NA;AREA_RESPONSABLE;ACTIVE;HABITANTES;OBSERVACIONES;ESCENARIO_MYM;PI;UBICACION_OBRA;METROS_AGUA;METROS_CLOACA;CONEXIONES_AGUA;CONEXIONES_CLOACA
49771;2021-08-27;Alte Brown;SUDOESTE;CLOACA;DDC;EXPANSION;SP3;;;RED SECUNDARIA CLOACAL BROWN 1 M4 - BARRIO LAS LATITAS;RED SECUNDARIA;FONPLATA 2;C+T;EN PROYECTO;;;SI;;30000000;0;300;0;;;;PROYECTO PREVISTO;;1;1200;;;;;;1000;0;0
49773;2021-08-27;Quilmes;SUDESTE;CLOACA;DDC;EXPANSION;SP3;;;RED SEC CLOACAL PASCO OESTE TERMINACIÓN - M3;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;360;0;;;;PROYECTO PREVISTO;;1;1031;;;;;;1200;0;0
49774;2021-08-27;Quilmes;SUDESTE;CLOACA;DDC;EXPANSION;SP3;;;RED SEC CLOACAL PASCO OESTE TERMINACIÓN - M4;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;360;0;;;;PROYECTO PREVISTO;;1;1031;;;;;;1200;0;0
49775;2021-08-27;Quilmes;SUDESTE;CLOACA;DDC;EXPANSION;SP3;;;RED SEC CLOACAL PASCO OESTE TERMINACIÓN - M5;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;360;0;;;;PROYECTO PREVISTO;;1;1031;;;;;;1200;0;0
49776;2021-08-27;Alte Brown;SUDOESTE;CLOACA;DDC;EXPANSION;SP3;;;RED SECUNDARIA CLOACAL CLAYPOLE 3 NORTE M6;RED SECUNDARIA;FONPLATA 2;C+T;EN PROYECTO;;;SI;;26000000;0;300;0;;;;PROYECTO PREVISTO;;1;1968;;;;;;1200;0;0
49734;2021-08-27;Merlo;OESTE;CLOACA;DDC;EXPANSION;SP3;;;RELEV E IE - PARQUE SAN MARTIN ETAPA 6;INTERVENCIONES ESPECIALES;AYSA APORTE LOCAL FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;180;0;;;;Intervenciones Especiales;;1;6666;;;;;;0;0;0
49749;2021-08-27;Presidente Peron;SUDOESTE;AGUA;DDC;EXPANSION;SP3;;;RSA NUMANCIA NORTE M1;RED SECUNDARIA;FONPLATA 2;A+T;EN PROYECTO;;;SI;;26000000;0;300;0;;;;PROYECTO PREVISTO;;1;2500;;;;;3000;;0;0
49750;2021-08-27;Presidente Peron;SUDOESTE;AGUA;DDC;EXPANSION;SP3;;;RSA NUMANCIA NORTE M2;RED SECUNDARIA;FONPLATA 2;A+T;EN PROYECTO;;;SI;;26000000;0;300;0;;;;PROYECTO PREVISTO;;1;2500;;;;;3000;;0;0
49751;2021-08-27;Presidente Peron;SUDOESTE;AGUA;DDC;EXPANSION;SP3;;;RSA NUMANCIA NORTE M3;RED SECUNDARIA;FONPLATA 2;A+T;EN PROYECTO;;;SI;;26000000;0;300;0;;;;PROYECTO PREVISTO;;1;2500;;;;;3000;;0;0
161;2021-08-27;La Matanza;OESTE;CLOACA;DDC;EXPANSION;SP3;;;RSC BARRIO LA PUNALADA;RED SECUNDARIA;FONPLATA 2;C+T;EN PROYECTO;;;SI;;26000000;0;120;0;;;;;DDC;1;900;;;;;;1000;0;0
182;2021-08-27;San Miguel;NORTE;CLOACA;DDC;EXPANSION;SP3;;;RED SECUNDARIA DE CLOACA BARRIOS BELLA VISTA JOVEN M4;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;240;0;;;;;DDC;1;1400;;;;;;1200;0;0
166;2021-08-27;San Fernando;NORTE;AGUA;DDC;EXPANSION;SP3;;;RED SECUNDARIA DE AGUA BARRIOS SAN FERNANDO;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;;;SI;;20000000;0;390;0;;;;;DDC;1;3582;;;;;3000;;0;0
310;2021-08-27;Esteban Echeverria;SUDOESTE;CLOACA;DDC;EXPANSION;SC70305;;;RED SECUNDARIA CLOACAL SANTA CATALINA 2° ETAPA M3;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;23768730,12;0;210;0;;;;;DDC;1;497;;;;;;1746;0;0
155;2021-08-27;La Matanza;OESTE;AGUA;DDC;EXPANSION;OA70218;;;STELLA MARIS M2;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;;;SI;;32996219,9;0;330;0;;;;;;1;1304;;;;;4137;;0;0
144;2021-08-27;Malvinas Argentinas;NORTE;AGUA;DDC;EXPANSION;NA70214;;;RSA BARRIO SORDEAUX  M1;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;;;SI;;20000000;0;300;0;;;;;;1;2500;;;;;5000;;0;0
170;2021-08-27;Florencio Varela;SUDESTE;AGUA;DDC;EXPANSION;SA70267;;;RED SECUNDARIA DE AGUA B° GRAL SAN MARTIN  M1;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;;;SI;;20000000;0;330;0;;;;;;1;900;;;;;5000;;0;0
2682;2021-08-27;Tres de Febrero;OESTE;AGUA;DDC;EXPANSION;OA931;;;CIERRES DE MALLA TRES DE FEBRERO M1;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;;;SI;;20000000;0;330;0;;;;;;1;2500;;;;;3971;;0;0
34836;2021-08-27;Avellaneda;SUDESTE;AGUA;DDC;EXPANSION;SP3;;;RSA BARRIOS AVELLANEDA;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;;;SI;;20000000;0;300;0;;;;;;1;1921;;;;;3000;;0;0
34848;2021-08-27;Presidente Peron;SUDOESTE;AGUA;DDC;EXPANSION;SP3;;;RED SECUNDARIA DE AGUA BARRIO LAS LOMAS  M1;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;;;SI;;26000000;0;360;0;;;;;;1;1780;;;;;3000;;0;0
176;2021-08-27;Alte Brown;SUDOESTE;AGUA;DDC;EXPANSION;SP3;;;INTERVENCIONES ESPECIALES  LONGCHAMPS CENTRO M3;INTERVENCIONES ESPECIALES;AYSA;A+T;EN PROYECTO;;;SI;;20000000;0;180;0;;;;;;1;2200;;;;;0;;0;0
8636;2021-08-27;Esteban Echeverria;SUDOESTE;CLOACA;DDC;EXPANSION;SP3;;;RED SECUNDARIA CLOACAL SANTA CATALINA 2° ETAPA M6;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;330;0;;;;;;1;497;;;;;;1200;0;0
8640;2021-08-27;Jose C Paz;NORTE;AGUA;DDC;EXPANSION;SP3;;;INTERVENCIONES ESPECIALES BARRIO PQUE JARDIN 12LA PAZ;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;;;SI;;20000000;0;180;0;;;;;;1;5000;;;;;0;;0;0
8644;2021-08-27;La Matanza;OESTE;CLOACA;DDC;EXPANSION;OC70272;;;RSC SARMIENTO ESTE M3;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;300;0;;;;;;1;705;;;;;;1200;0;0
8645;2021-08-27;La Matanza;OESTE;CLOACA;DDC;EXPANSION;OC70273;;;RSC SARMIENTO ESTE M4;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;300;0;;;;;;1;705;;;;;;1200;0;0
8646;2021-08-27;La Matanza;OESTE;CLOACA;DDC;EXPANSION;OC70274;;;RSC SARMIENTO ESTE M5;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;300;0;;;;;;1;705;;;;;;1200;0;0
8649;2021-08-27;Merlo;OESTE;CLOACA;DDC;EXPANSION;SP3;;;RELEV E IE  PARQUE SAN MARTIN ETAPA 4;INTERVENCIONES ESPECIALES;AYSA;C+T;EN PROYECTO;;;SI;;26000000;0;180;0;;;;;;1;6666;;;;;;0;0;0
8650;2021-08-27;Moreno;OESTE;CLOACA;DDC;EXPANSION;SP3;;;RED SECUNDARIA DE CLOACA BARRIOS CABAA SAN BRIGIDA Y SANTAPAULA;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;330;0;;;;;;1;972;;;;;;3000;0;0
8651;2021-08-27;Moreno;OESTE;AGUA;DDC;EXPANSION;SP3;;;RSA PASO DEL REYLA RIBERA M1;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;;;SI;;20000000;0;300;0;;;;;;1;2500;;;;;3000;;0;0
8652;2021-08-27;Presidente Peron;SUDOESTE;AGUA;DDC;EXPANSION;SP3;;;RSA BARRIO PARQUE AMERICANO M1;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;;;SI;;26000000;0;300;0;;;;;;1;2500;;;;;3000;;0;0
8654;2021-08-27;San Isidro;NORTE;AGUA;DDC;EXPANSION;SP3;;;RED SECUNDARIA DE AGUA BARRIO CAVA;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;;;SI;;20000000;0;330;0;;;;;;1;7825;;;;;10000;;0;0
8655;2021-08-27;San Miguel;NORTE;CLOACA;DDC;EXPANSION;SP3;;;RED SECUNDARIA DE CLOACA CHANCHO RENGO;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;300;0;;;;;;1;251;;;;;;1000;0;0
34835;2021-08-27;Alte Brown;SUDOESTE;CLOACA;DDC;EXPANSION;SP3;;;RED SECUNDARIA DE CLOACA BARRIOS ALMIRANTE BROWN 2;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;30000000;0;0;0;;;;;;1;1968;;;;;;1000;0;0
34838;2021-08-27;Esteban Echeverria;SUDOESTE;AGUA;DDC;EXPANSION;SP3;;;RED SECUNDARIA DE AGUA BARRIOS ESTEBAN ECHEVERRIA NORTE;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;;;SI;;26000000;0;330;0;;;;;;1;3675;;;;;3000;;0;0
34839;2021-08-27;Esteban Echeverria;SUDOESTE;CLOACA;DDC;EXPANSION;SP3;;;RED SECUNDARIA CLOACAL SANTA CATALINA 2° ETAPA M8;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;330;0;;;;;;1;497;;;;;;1200;0;0
34842;2021-08-27;La Matanza;OESTE;CLOACA;DDC;EXPANSION;SP3;;;RED SECUNDARIA DE CLOACA BARRIOS AMERICASAN JOSÉ SAN ALBERTO;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;330;0;;;;;;1;1490;;;;;;700;0;0
34843;2021-08-27;La Matanza;OESTE;CLOACA;DDC;EXPANSION;SP3;;;RED SECUNDARIA DE CLOACA BARRIOS LA MATANZA 2;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;390;0;;;;;;1;1479;;;;;;1000;0;0
34844;2021-08-27;La Matanza;OESTE;CLOACA;DDC;EXPANSION;OC70275;;;RSC SARMIENTO ESTE M6;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;300;0;;;;;;1;705;;;;;;1200;0;0
48518;2021-08-27;Alte Brown;SUDOESTE;CLOACA;DDC;EXPANSION;SP3;;;RED SECUNDARIA CLOACAL CLAYPOLE 3 NORTE M5;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;30000000;0;300;0;;;;;;1;1968;;;;;;1200;0;0
8632;2021-08-27;Alte Brown;SUDOESTE;CLOACA;DDC;EXPANSION;SP3;;;RED SECUNDARIA DE CLOACA BARRIOS ALMIRANTE BROWN 1;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;29 DE MAYO;30000000;0;270;0;;;;;;1;702;;;;;;1000;0;0
146;2021-08-27;Moreno;OESTE;CLOACA;DDC;EXPANSION;OC70259;;;PUESTA EN SERVICIO EXPANSION CLOACAL A PLANTA CATONAS II Y III M1 + BARRIO ILLIA;INTERVENCIONES ESPECIALES;AYSA;C+T;EN PROYECTO;;;SI;;17914644,4;0;90;0;;;;INTERVENCIONES ESPECIALES;DDC;1;5000;;;;;;0;0;0
147;2021-08-27;Moreno;OESTE;CLOACA;DDC;EXPANSION;OC70261;;;PUESTA EN SERVICIO EXPANSION CLOACAL A PLANTA CATONAS II Y III M2;INTERVENCIONES ESPECIALES;AYSA;C+T;EN PROYECTO;;;SI;;26000000;0;90;0;;;;INTERVENCIONES ESPECIALES;DDC;1;5000;;;;;;0;0;0
162;2021-08-27;La Matanza;OESTE;AGUA;DDC;EXPANSION;SP3;;;RSA BARRIO LA PUNALADA;RED SECUNDARIA;FONPLATA 2;A+T;EN PROYECTO;;;SI;;26000000;0;150;0;;;;PROYECTO PREVISTO;DDC;1;912;;;;;2000;;0;0
163;2021-08-27;Merlo;OESTE;CLOACA;DDC;EXPANSION;OC70277;;;INTERVENCIONES ESPECIALES BARRIO PARQUE SAN MARTIN M3;INTERVENCIONES ESPECIALES;AYSA;C+T;EN PROYECTO;;;SI;;17801468,73;0;180;0;;;;INTERVENCIONES ESPECIALES;DDC;1;6666;;;;;;0;0;0
169;2021-08-27;Florencio Varela;SUDESTE;AGUA;DDC;EXPANSION;SA70266;;;RED SECUNDARIA DE AGUA BARRIO ING ALAN  M1 + M2;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;;;SI;;28994009,37;0;330;0;;;;INTERVENCIONES ESPECIALES;DDC;1;1100;;;;;5000;;0;0
177;2021-08-27;Merlo;OESTE;CLOACA;DDC;EXPANSION;SP3;;;INTERVENCIONES ESPECIALES BARRIO PARQUE SAN MARTIN M4;INTERVENCIONES ESPECIALES;AYSA;C+T;EN PROYECTO;;;SI;;26000000;0;180;0;;;;INTERVENCIONES ESPECIALES;DDC;1;6666;;;;;;0;0;0
178;2021-08-27;Merlo;OESTE;CLOACA;DDC;EXPANSION;SP3;;;INTERVENCIONES ESPECIALES BARRIO PARQUE SAN MARTIN M5;INTERVENCIONES ESPECIALES;AYSA;C+T;EN PROYECTO;;;SI;;26000000;0;180;0;;;;INTERVENCIONES ESPECIALES;DDC;1;6666;;;;;;0;0;0
180;2021-08-27;Esteban Echeverria;SUDOESTE;CLOACA;DDC;EXPANSION;SP3;;;RED SECUNDARIA CLOACAL SANTA CATALINA 2° ETAPA M5;RED SECUNDARIA;FONPLATA 2;C+T;EN PROYECTO;;;SI;;26000000;0;330;0;;;;PROYECTO PREVISTO;DDC;1;497;;;;;;1200;0;0
308;2021-08-27;Quilmes;SUDESTE;CLOACA;DDC;EXPANSION;SC70303;;;CONVENIO COMPLEMENTARIO RENOVACION CLOACAL LAPRIDA - LA VERA M2;INTERVENCIONES ESPECIALES;FONPLATA;C+T;EN PROYECTO;;;SI;;12000000;0;60;0;;;;INTERVENCIONES ESPECIALES;DDC;1;1232;;;;;;1000;0;0
49719;2021-08-27;Avellaneda;SUDESTE;CLOACA;DDC;EXPANSION;SP3;;;RSC BARRIOS AVELLANEDA;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;450;0;;;;PROYECTO PREVISTO;;1;2649;;;;;;1000;0;0
49720;2021-08-27;Avellaneda;SUDESTE;CLOACA;DDC;EXPANSION;SP3;;;RSC BARRIO OBRERO SUR RESTO M3;RED SECUNDARIA;FONPLATA 2;C+T;EN PROYECTO;;;SI;;26000000;0;300;0;;;;PROYECTO PREVISTO;;1;1400;;;;;;1000;0;0
49722;2021-08-27;Florencio Varela;SUDESTE;AGUA;DDC;EXPANSION;SP3;;;RED SECUNDARIA DE AGUA B° GRAL SAN MARTÍN -M2;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;;;SI;;20000000;0;300;0;;;;PROYECTO PREVISTO;;1;900;;;;;5000;;0;0
49723;2021-08-27;Florencio Varela;SUDESTE;AGUA;DDC;EXPANSION;SP3;;;RSA ING ALLAN - M3;RED SECUNDARIA;FONPLATA 2;A+T;EN PROYECTO;;;SI;;20000000;0;300;0;;;;PROYECTO PREVISTO;;1;1100;;;;;5000;;0;0
49724;2021-08-27;Jose C Paz;NORTE;AGUA;DDC;EXPANSION;SP3;;;PLAN FEDERAL DE VIVIENDAS MÓDULO INCIAL;RED SECUNDARIA;FONPLATA 2;A+T;EN PROYECTO;;;SI;;20000000;0;330;0;;;;PROYECTO PREVISTO;;1;3326;;;;;5000;;0;0
49725;2021-08-27;Jose C Paz;NORTE;AGUA;DDC;EXPANSION;SP3;;;RED SECUNDARIA DE AGUA BARRIOS COMUNIDAD PUEBLO GUARANÍ-MUÑIZ-SAN AGUSTÍN;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;;;SI;;20000000;0;270;0;;;;PROYECTO PREVISTO;;1;1042;;;;;5000;;0;0
49726;2021-08-27;La Matanza;OESTE;AGUA;DDC;EXPANSION;SP3;;;RED SECUNDARIA DE AGUA BARRIOS LA MATANZA 3;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;;;SI;;20000000;0;300;0;;;;PROYECTO PREVISTO;;1;3905;;;;;3000;;0;0
