CLAVE;F_CORTE;PARTIDO;REGION;FLUIDO;DIRECCION;ASIGNACION_PRESUPUESTO;P3_IP;LAT_OBRA;LON_OBRA;NOMBRE_DE_LA_OBRA;TIPO_DE_OBRA;FINANCIA;EJECUTA;ESTADO;SUBESTADO;FECHA_LLAMADO_LICITACION;A_INFORMAR;CONTRATISTA;INVERSION_PRESUPUESTADA_SIN_IVA;INVERSION_REAL_ACUMULADA_SIN_IVA;PLAZO;AVANCE;FIRMA_CTO;ORDEN_INICIO;FIN_OBRA;GEOREF_NA;AREA_RESPONSABLE;ACTIVE;HABITANTES;OBSERVACIONES;ESCENARIO_MYM;PI;UBICACION_OBRA;METROS_AGUA;METROS_CLOACA;CONEXIONES_AGUA;CONEXIONES_CLOACA
48520;2021-08-27;La Matanza;OESTE;CLOACA;DDC;EXPANSION;OC70265;-34,717842;-58,604149;RED SECUNDARIA CLOACAL PARQUE JUAN 1 NORTE  MÓDULO 5;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;300;0;;;;;;1;1270;;;;;;1200;0;0
48521;2021-08-27;La Matanza;OESTE;CLOACA;DDC;EXPANSION;OC70271;-34,731542;-58,607716;RED SECUNDARIA CLOACAL SARMIENTO ESTE  MÓDULO 2;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;300;0;;;;;;1;1802;;;;;;1200;0;0
48522;2021-08-27;La Matanza;OESTE;CLOACA;DDC;EXPANSION;OC70269;-34,721588;-58,600247;RED SECUNDARIA CLOACAL ARCO IRIS NORTE  MÓDULO 6;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;300;0;;;;;;1;572;;;;;;1200;0;0
48527;2021-08-27;San Miguel;NORTE;CLOACA;DDC;EXPANSION;NC70196;-34,573369;-58,715238;RED SECUNDARIA CLOACAL BARRIO BELLA VISTA JOVEN M2;RED SECUNDARIA;FONPLATA;C+T;CONTRATADA;;;SI;;26592827,88;0;240;0;;;;;;1;395;;;;;;2112;0;0
49721;2021-08-27;Florencio Varela;SUDESTE;AGUA;DDC;EXPANSION;SA70274;-34,819908;-58,321659;RSA BARRIO 9 DE JULIO;RED SECUNDARIA;FONPLATA 2;A+T;CONTRATADA;;;SI;;33530403,79;0;360;0;;;;;;1;2840;;;;;5400;;0;0
49793;2021-08-27;Tigre;NORTE;CLOACA;DDC;EXPANSION;NC70197;-34,443253;-58,593096;RSC LARRALDE SUR M1;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;30589597,14;0;300;0;;;;;;1;745;;;;;;1680;0;0
49794;2021-08-27;Tigre;NORTE;CLOACA;DDC;EXPANSION;NC70198;-34,444263;-58,586529;RSC LARRALDE SUR M2;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;31733346;0;360;0;;;;;;1;960;;;;;;1944;0;0
49797;2021-08-27;Tigre;NORTE;CLOACA;DDC;EXPANSION;NC70160;-34,492637;-58,640372;RED SECUNDARIA CLOACAL DON TORCUATO - ZONA A;RED SECUNDARIA;FONPLATA 2;C+T;EN PROYECTO;;;SI;;289156535,8;0;300;0;;;;;;1;6400;;;;;;25000;0;0
49798;2021-08-27;Tigre;NORTE;CLOACA;DDC;EXPANSION;NC70169;-34,500547;-58,623875;RED SECUNDARIA CLOACAL DON TORCUATO ESTE - CUENCA 1;RED SECUNDARIA;FONPLATA 2;C+T;EN PROYECTO;;;SI;;229027689,4;0;300;0;;;;;;1;14180;;;;;;24000;0;0
49799;2021-08-27;Tigre;NORTE;AGUA;DDC;EXPANSION;NA70158;-34,493344;-58,616808;RED SECUNDARIA DE AGUA DON TORCUATO ESTE 2;RED SECUNDARIA;FONPLATA 2;A+T;CONTRATADA;;;SI;;101466061,7;0;450;0;;;;;;1;4254;;;;;14154;;0;0
